     Qty: Element

     865: 

       1: $5,000)

      13: (

       2: (1

      10: (1)

       1: (1568-1639)

      12: (2)

       1: (20)

       1: (27

       1: (3

       8: (3)

       1: (365

       6: (4)

       1: (4/3

       1: (400

       1: (48

       2: (5)

       2: (6)

       1: (7

       2: (7)

       2: (729

       2: (8)

       1: (801)

       2: (9

       1: (A

       1: (Alcibiades)

       1: (Apol

       1: (Ar

       1: (Aris

       5: (Arist

       1: (Aristot

       1: (Audit

       1: (Bendis

       4: (Book

       1: (Books

       1: (Charm

       1: (Charm)

       4: (Compare

       2: (Cp

       1: (Critias)

       1: (Donaldson)

       1: (Eleusinian)

       2: (Ep

       1: (Flesh-child)

       1: (For

       1: (Frogs)

       1: (Gorg

       1: (Gorgias)

       1: (Greek

      42: (Greek)

       1: (Haug

       1: (Heracl

       1: (Heraclitus

       1: (Hythloday)

       2: (I

       1: (In

       1: (Introd

       1: (Ion)

       1: (It

       1: (John)

       2: (Jupiter)

       2: (King

      18: (Laws)

       1: (Literally

       1: (Luke)

       2: (Mars)

       1: (Meaning

       1: (Mem

       1: (Met

       2: (Metaph

       1: (Mill

       1: (Nic

       1: (Now

       2: (Or

       1: (Parmen

       1: (Phaedo)

       2: (Phaedr

       1: (Philebus)

       1: (Plato

       1: (Poet)

       3: (Pol

       1: (Polit

       1: (Politicus)

       1: (Probably

       1: (Proc

       3: (Protag

       1: (Protagoras

       1: (Rembrandt)

       8: (Rep

       1: (Saturn

       1: (Socrates

       1: (Soph

       1: (Statesman

       2: (Statesman)

       1: (Strange

       1: (Swift

       1: (Symposium

       1: (Theaet

       4: (Tim

       1: (Tim)

       4: (Timaeus)

       1: (Turner)

       2: (Utopia)

       2: (Venus)

       1: (Weber)

       1: (When

       1: (Xen

       1: (You

       1: (a

       2: (a)

       1: (about

       1: (alpha)

      10: (and

       1: (anno
456

       2: (any

       5: (as

       1: (assuming

       1: (available

       2: (b)

       1: (beta)

       1: (but

       2: (c)

       2: (compare

      14: (cp

       1: (d)

       1: (de

       1: (divine)

       1: (does

       1: (e

       3: (for

       1: (gamma)

       2: (he

       3: (i

       1: (if

       2: (like

       1: (meaning

       1: (not

       1: (note

       1: (now

       3: (of

      11: (or

       1: (perhaps

       1: (religion)

       1: (see

       1: (super

       1: (that

      10: (the

       1: (they

       1: (this

       1: (though

       1: (until

       3: (which

       1: (would

       1: (www

       5: -

      21: 1

       1: 1/1

       1: 1/2)

       1: 1/3

       1: 1/3)

       1: 10

      10: 100

       2: 100)

       2: 1000

       4: 12

       1: 13

       2: 1497

       1: 1500

       1: 1514)

       3: 16

       1: 1688

       1: 17,500

       3: 18

       1: 1st

      16: 2

       1: 2)

       1: 2/1

       1: 2/2

       1: 20

       1: 200,000

       1: 2001

       1: 21

       9: 216

       2: 25)

       6: 27

       2: 27)

       1: 2700

      27: 3

       3: 3/2

       1: 30

       1: 300,000

       1: 34

       1: 35

       1: 365

       1: 398-381)

       1: 3:4)

       1: 3rd

      18: 4

       2: 4/3

       3: 400

       1: 400/9

       1: 411

       1: 4557

       1: 48

       2: 49

       1: 4900

       1: 4900)

       1: 4:3

      17: 5

       2: 5)

       5: 50

       1: 50)

       1: 500)

       1: 501(c)(3)

       1: 5040

       1: 5040/12

       1: 596-1887

       8: 6

       1: 6)

       1: 60

       1: 64-6221541

       2: 7

       7: 729

       1: 730)

       1: 75

       1: 7600

       6: 8

       2: 8000

       1: 8000)

       1: 8000/27

       1: 84116

       4: 9

       2: 90

       1: 99712

       2: 9th

    3754: A

       1: ACTUAL

       2: AGREE

       1: AGREEMENT

       1: AK

       1: ANALYSIS

       2: AND

       3: ANY

       1: ANYTHING

       2: ASCII

       1: Abandoned

       1: Abate

       1: Abated

       1: Abates

       1: Abdera

       1: Abhor

       3: Abhorrence

       2: Abide

       6: Abiding

       3: Ability

       3: Abject

     106: Able

       1: Abler

       1: Abnegation

       1: Abnormal

       6: Abode

       1: Abolishes

       3: Abolition

       3: Abominable

